"","City","Year","Var.3","area.floor.commercial","area.floor.gross","area.floor.industrial","area.floor.residential","area.land","area.urbanised","bio","building.al.consume","building.al.import","building.al.prod","building.bricksAndOthers.consume","building.bricksAndOthers.import","building.bricksAndOthers.prod","building.cement.consume","building.cement.import","building.cement.prod","building.other.2.consume","building.other.2.imports","building.other.2.prod","building.steel.consume","building.steel.import","building.steel.prod","cereals.consume","cereals.import","cereals.prod","coal","coord.bodies","dairy.import","dairy.prod","degreeDays.cooling","degreeDays.heating","diary.consume","diesel","districtHeating.number","districtHeating.ownership","districtHeating.percentage","elec.buildings.PV","elec.coal","elec.consumption.agriculture","elec.consumption.bulkSupply","elec.consumption.comm","elec.consumption.energyIndustry","elec.consumption.exports","elec.consumption.govtAgriculture","elec.consumption.ind","elec.consumption.insitutional","elec.consumption.licenses","elec.consumption.losses","elec.consumption.other","elec.consumption.publicLIghting","elec.consumption.res","elec.consumption.social","elec.consumption.stat.comm","elec.consumption.stat.ind","elec.consumption.stat.res","elec.consumption.stat.resCom","elec.consumption.stat.transp","elec.consumption.transportation","elec.consumption.waterWorks","elec.distributers.dominant","elec.distributers.number","elec.distributers.ownership","elec.emissionsFactor","elec.emissionsFactor.gas","elec.feedInTarrifs","elec.gas","elec.grid","elec.growth","elec.hydro","elec.incentives","elec.independentGeneration","elec.losses","elec.nuclear","elec.oil","elec.other","elec.regulator","elec.renewable","elec.solar","elec.suppliers.dominant","elec.suppliers.number","elec.suppliers.ownership","elec.total.Gwh","elec.total.TJ","elec.vehicles.charging","elec.vehicles.number","elec.wind","energy.stat.heating.fuel","energy.stat.res.comm.heating","energy.total","energy.total.2001","energy.total.2006","energy.total.2011","energy.total.growth","energy.transp","energy.transp.growth","food.consume","food.import","food.prod","fruit.consume","fruit.import","fruit.prod","fuel.jet","fuel.marine","gas","gas.distributors.number","gas.distributors.ownership","gasoline","gas.regulator","gas.vehicles.number","gdp","gdp.growth","gdp.ppp","govt.metro","ict.internet","ict.mobiles","maize.consume","maize.import","maize.prod","meat.consume","meat.import","meat.prod","oil","other.CNG","other.consumption.stat.institutional","other.mobile.aviationGasoline","other.mobile.biodiesel","other.mobile.compressedNaturalGas","other.mobile.dieselOil","other.mobile.electricity","other.mobile.electricityMetro","other.mobile.electricTraction","other.mobile.ethanol","other.mobile.fuelOil","other.mobile.kerosene","other.mobile.LPG","other.mobile.LPGauto","other.mobile.mazut","other.mobile.naturalGas","other.mobile.oil","other.mobile.oilProducts","other.stat.coalProducts","other.stat.crudeOil","other.stat.diesel","other.stat.fuelOil","other.stat.furnaceOil","other.stat.greases","other.stat.heat","other.stat.kerosene","other.stat.LPG","other.stat.LPG.bulked.packed","other.stat.mineralOil","other.stat.misc","other.stat.oilProducts","other.stat.steam","other.stat.totalNonElectric","other.stat.townGas","paper.consume","paper.import","paper.prod","plastic.consume","plastic.import","plastic.prod","pop.brinkhoff","pop.density.survey","pop.density.worldbank","pop.growth","pop.survery","precip.annual","preparedFoods.consume","preparedFoods.import","preparedFoods.prod","pulses.consume","pulses.import","pulses.prod","random.consume","random.import","random.prod","rice.consume","rice.import","rice.prod","sawi.consume","sawi.import","sawi,prod","service.hoursNoElec","service.noDrinking","service.noGrid","service.noSewerage","service.noWasteCollection","service.noWater","service.wastewaterTreatment","snacks.consume","snacks.import","snacks.prod","solarRad.annual","solidFats.consume","solidFats,import","solidFats.prod","soybean.consume","soybean.import","soybean.prod","spinach.consume","spinach.import","spinach,prod","transportation (%)","unclear.consume","unclear.import","unclear.prod","veg.consume","veg.import","veg.prod","waste.growth","waste.incineration","waste.landfill","waste.other","waste.total","wastewater.collectors.number","wastewater.load","wastewater.ownership","wastewater.vol","water","water.distributors.number","water.distributors.ownership","water.growth","water.loss","water.loss.exc","water.loss.inc","water.loss.percent","water.production","water.production.ground","water.production.surface","water.regulator","waterSpinach.consume","waterSpinach.import","water.Spinach.prod","wheat.consume","wheat.import","wheat.prod"
"1","Beijing",2001,"","176070000","377165000","","201095000","16411","","","","","","","","","","","7273","","","","","","8090","","","","","","","","","","","43940.89","","","","","89.51","","","","","","","","","","","","","","","","","","","","","","","","","952.86","","","0.23","36319","122.16","3.8","","","3511","0","6.46","","","","","","","","36319","130748.4","","","0","622978.85","","910275.68","910275.69","","","53.69","156548.43","191.4","","","","","","","","","","","","59375.28","","","370800000000","244.37","112363636364","","","","","","","","","","","","","","","","","","","","","","53232.27","","","","","","","","","","","","","","","","","","","","","622978.85","","","","","","","","","","","","13851000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","170","","865415","3890000","","","-7.46","595170","3890000","4485170","0.153","3890000","2720000","1170000","","","","","","",""
"2","Beijing",2006,NA,"244040000","570690000",NA,"326650000","16411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10163",NA,NA,NA,NA,NA,"12694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75285.05",NA,NA,NA,NA,"62.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"748.8",NA,NA,"0","57535",NA,"21.07",NA,NA,"4364","0","14.09",NA,NA,NA,NA,NA,NA,NA,"57535","207126",NA,NA,"2.55","728408.16",NA,"1229261.63",NA,"1229261.63",NA,NA,"293727.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119372.81",NA,NA,"8.1178e+11",NA,"231937142857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99069.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"728408.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16010000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98","4683","196","4781",NA,"109.87",NA,"1292100","3430000",NA,NA,NA,"524790","3430000","3954790","0.153","3430000","2220000","570000",NA,NA,NA,NA,NA,NA,NA
"3","Beijing",2011,"","368730000","809860000","","441130000","16411","3377.15","","","","","","","","","","9232.9","","","","","","2895.8","","","","","Y","","","218","2955","","102603.65","1-2","public","unknown","unknown","43.54","","","11.34","","","","29.8","","","","","","17.9","","13.2","32","32.1","","","","","Y","1-2","public","608.51","","","27.8","80686","","12.29","Y","unknown","4682","0","9.84","","Y","","","Y","1-2","public","80686","290469.6","1274","21628","6.16","652342.88","295511.33","1399001.72","","","1399001.73","","456189.24","","4596","?","6376","","","","","","","1-2","public","167783.49","Y","unknown","1625190000000","","386950000000","Y","95","97.5","","","","","","","","","","","","","","","","","","62.72","185739.38","","","","","","","","","","","","","","","","","","","","","652342.88","","","","","","","","13600000","5977","14505","45.74","20186000","720.6","","","","","","","","","","","","","","","","8","0","0","5","0","0.27","5","","","","","","","","","","","","","","7.7","","","","","","","","944.6","4295.7","991","5240.3",">5","193.2","mix","1455430","3600000","1-2","public","","550800","3600000","4150800","0.153","3600000","1880000","480000","Y","","","","","",""
"4","Buenos Aires",2001,"","","","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","","87158","","","","","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.92","24555","39.16","43.02","","","","9.35","1.01","","","0","0","","","","24555","88398","","","0","355806","","582556","582556","","","18.23","138352","-16.31","","","","","","","","","355806","","","51194","","","41615800000","109.33","52019750000","","","","","","","","","","na","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11460575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","0","4527","","4527","","na","","na","","","","#DIV/0!","","0","0","","na","na","na","","","","","","",""
"5","Buenos Aires",2006,"","","","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","","67415","","","","","1.14","","","","","","","","","","","","","","","","","","","","","","","","","515","","","46.55","28164","","37.46","","","","7.68","7.17","","","0","0","","","","28164","101390.4","","","0","453763","","665966.4","","665966.4","","","110813","","","","","","","","","","453763","","","43398","","","105233000000","","75166428571","","","","","","","","","","na","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","na","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4081","","4081","","na","","na","1148764","","","","873708","1148764","2022472","0.761","2022471","64393","1559012","","","","","","",""
"6","Buenos Aires",2011,"","324000","","60000","2826000","3209","2477","0","","","","","","","","","","","","","","","","","","","0","Y","","","199","1174","","61474","na","na","na","unknown","2.186","","","27.5","","","","18.7","","","","","","40.7","","7.8","37.8","54.4","","","","","N","3-5","private","54","","N","50.794","34170","","30.806","N","unknown","","6.253","9.948","","N","0","0.001","N",">5","mix","34170","123012","0","0","0.012","449961","279875.74","688758","","","688758","","115785","","","","","","","","","","439663","3-5","public","54311","N","283958","283119000000","","108891923077","N","58.3","86.25","","","","","","","10298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13300000","5170","5966","11.75","12806866","1195.04","","","","","","","","","","","","","","","","","10.56","0","13.75","5","10.64","41.96","","","","1680","","","","","","","","","","1.1","","","","","","","","0","4531","","4531","1-2","na","public","943543","1242177","1-2","public","","944754","1242177","2186931","0.761","2186931","91169","1652498","Y","","","","","",""
"7","Cairo",2001,"","","","","","","","13926.3","","","","","","","","","","","","","","","","","","","213.4","","","","","","","7955.9","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.69","19762.6","4.07","4.95","","","","na","61.24","","","318.32","na","","","","20080.92","72291.31","","","0.05","80878.9","","166255.69","166255.7","","","107.85","13085.48","48.05","","","","","","","81509.45","","62329.3","","","5129.58","","","","#DIV/0!","","","","","","","","","","","4409.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16506701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.37","2111.24","3776.93","","5888.16","","na","","438000","1257882.35","","","122.41","","1257882.35","1257882.35","","2472875","105397.4","1965981.5","","","","","","",""
"8","Cairo",2006,"","","","","","","","15277.8","","","","","","","","","","","","","","","","","","","257.3","","","","","","","9551","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.65","22044.6","","4.28","","","3440.4","na","51.85","","","532.84","na","","","","22577.44","81278.78","","","0.18","237330.4","","334013.6","","334013.6","","","15404.42","","","","","","","","98096.72","","216581","","","5853.42","","","","","","","","","","","","","","","5214.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19109760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2872","4662.88","","7534.87","","na","","2664500","1910830.85","","","","","1910830.85","1910830.85","","2755750","109114.6","2330981.3","","","","","","",""
"9","Cairo",2011,"","586169","3085100","462765","2036166","17393","1573.4","16686.8","","","","","","","","","37063","","","","","","5382","","","","275.1","Y","","","574","440","","11921.3","na","na","na","unknown","0.03","","","8","","","9.1","31.4","","","","","","42.3","","","","","","","","","Y",">5","public","","","Y","49.4","19374.1","","3.95","N","unknown","3482.8","na","48.05","","","1523.37","219 GWh","Y",">5","public","20897.47","75230.89","unknown","unknown","0.21","250964.1","","345567.99","","","345568","","19373","","","","54912572","","","","96625.27","","232860",">5","mix","7451.7","","50247","","","33501000000","Y","44.1","112.81 per 100 pop","","","","","","","1142.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15200000","13026","8718","24.16","20495461","26","","","","","","","","","","","","","","","","","7.6","na","22.8","na","19.1","5.5","","","","2600","","","","","","","","","","9.4","","","","","","","","3025.32","6535.37","","9560.68","1-2","na","public","3066000","2797707.85","1-2","public","","171550","2797707.85","2969257.85","0.061","3202875","141893.8","2695981.3","","","","","","",""
"10","Delhi",2001,"","","","","","","","~0","","","","","","","","","","","","","","","","","","","~0","","","","","","","48040.6","","","","","38.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.53","9713","123.41","0","","","372.97","0","~0","","","0","0","","","","9713","34966.8","","","0","36708.09","","146491.29","146491.29","","","57.16","74816.4","32.96","","","","","","","27993.07","0","na","","","26775.8","","","668660000000","187.68","49166176471","","","","","","","","","","","","","","","","","","na","","","","","","","","na","","","","","2774.55","","174.31","177.68","","9225.14","","23284.96","1071.44","","","","","","","","","","","","","","","","13850507","","","","","","","","","","","","","data are doubtful","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.32","","2233","","2233","","112.42","","842730.2","781142.86","","","28.79","312457.14","781142.86","1093600","0.4","871742.2","111903.5","759838.7","","","","","","",""
"11","Delhi",2006,"","","","","","","","~0","","","","","","","","","","","","","","","","","","","~0","","","","","","","60778.1","","","","","38.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5","15104","","0","","","143.48","0","~0","","","0","0","","","","15104","54374.4","","","0","38592.66","","189383.7","","189383.7","","","96416.64","","","","","","","","51867.67","0","1462.8","","","32998.8","","","1005350000000","","68391156463","","","","","","","","","","","","","","","","","","1879.2","","","","","","","","760.54","","","","","968.32","","na","51.53","","7482.81","","28539.95","87.25","","","","","","","","","","","","","","","","16200000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2443","","2443","","88.7","","884176","798928.47","","","","319571.39","798928.47","1118499.86","0.4","897991.2","111903.5","786087.7","","","","","","",""
"12","Delhi",2011,"","8520000","","3920000","55410000","1483","1113.65","~0","69.15","na","0","","","","9197.84","1610","0","288.64","na","0","3157.19","877.3","0","1649.61","383.3","10.78","~0","Y","na","na","1174","396","1240.74","42636.5","na","na","na","~0","14.2","","","25.6","","","","15.2","","0.37","","5.79","","49.2","","4","8","88","","","","3.71","N","3-5","mix","0.846","0.38","Y","85.8","21700","","0","Y","~0","252.9","0","~0","","Y","0","0","N","1-2","public","21700","78120","~0","unknown","0","52623.15","48413.3","230221.89","","","230221.89","","99478.74","","","","","957.01","","na","78655.66","0","11298","1-2","public","38168.2","na","720000","2644950000000","","141441176471","Y","17.6","68.27","","","","655.29","na","na","","","","","","","","","2923.2","","","","","","","","15750.84","","","","","192.67","","3192.91","74.6","","2206.49","","35638.57","19.91","","","","","","","","","","","","23200000","15044","12355","20.96","16753235","708.1","","","","1819.21","55.6","1.95","","","","","","","","","","730","21.6","0.9","63.69","","20","56.25","","","","1792.15","","","","","","","","","","","","","","1589.91","53.5","1.4","","1204.5","2956","","4160.5","1-2","82.18","public","925621.7","1006071.43","1-2","public","","402428.57","1006071.43","1408500","0.4","1160481","158875.4","1001605.6","na","","","","","",""
"13","Dhaka",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","7379.36","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","32.449","","","87.55","4986.49","93.95","5.71","","","1301.97","0","6.74","","","0","0","","","","4986.49","17951.36","","","0","179494.23","","203005.24","203005.24","","","95.53","5559.65","143.31","","","","","","","9159.27","","137207.57","","","","","","39340000000","143.7","39340000000","","","","","","","","","","28653.49","","","","","","","","","","","","","","","","scaled from nat. data","","5559.65","","","","","","","","6253.82","","","","","","","","","","","","plastic","","","","","","","10621481","","","","","","","","","","","","","rice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.95","0","766.5","","766.5","","77.84","","12973.13","193248","","","171.79","108218.88","193248","301466.88","0.56","445300","412450","32850","","","","","","",""
"14","Dhaka",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9966.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48.17",NA,NA,"88.71","7251.71",NA,"4.65",NA,NA,"1382.18","0","5.49",NA,NA,"0","0",NA,NA,NA,"7251.71","26106.16",NA,NA,"0","252320.56",NA,"285945.7",NA,"285945.69",NA,NA,"7518.98",NA,NA,NA,NA,NA,NA,NA,"12427.37",NA,"202228.02",NA,NA,NA,NA,NA,"5.517e+10",NA,"5.517e+10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33123.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"6815.06",NA,NA,NA,NA,NA,NA,NA,"7002.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12910235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","985.5",NA,"985.5",NA,"226.11",NA,"18842.5","359561.5",NA,NA,NA,"129478","359561.5","489039.5","0.36","562100","489100","73000",NA,NA,NA,NA,NA,NA,NA
"15","Dhaka",2011,"","","126325000","","","1860","911.4","","","","","","","","8864.6","0","12668.25","","","","2540","0","5080","","","","24917.32","Y","","","1164","50","","","na","na","na","unknown","2.49","","","8.66","","","","51.85","","","","","","38.37","","na","an","na","","","","","N","1-2","public","51.037","","N","82.12","9058.07","","2.78","N","unknown","1089.69","0","12.61","","Y","613.2","0","Y","1-2","public","9671.27","34816.57","unknown","unknown","0","348582.61","","396926.53","","","396926.53","","13527.35","","","","","","","","7374.72","","267472.92","1-2","public","","Y","117000","95870000000","","95870000000","N","3.5","66.36","","","","","","","52517.07","","","","","","","","","","","","","","","","703.92","","9321.38","","","","","","","","3675.3","","","","","","","","","","","","","","","13600000","17135","no data","47.03","15616562","1931","","","","","","","","","","905","1561","","","","","1008","31.43","67.34","65","10","7","65","","","","1706","","","","","","","","","","1.11","","","","","","","","0","1387","","1387","1-2","66.95","public","16738.41","525235","1-2","public","","173695.21","525235","698930.21","0.331","784750","682915","101835","N","","","","345","3752","990"
"16","Guangzhou",2001,"","61154600","148290100","","87135500","","","","","","","","","","","","12040","","","","3590.3","1384.46","2400.7","","","","","","","","","","","52366.82","","","","","74.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","?","25827.32","144.39","?","","","1284.65","?","24.93","0.25","","","?","","","","25827.32","92978.36","","","?","210624.93","","400565.11","400565.11","","","187.43","96961.82","230.12","","","","","","","see survey notes","","","","","34624","","","284165110000","243.51","86110639394","","","","","","","","","","","","","","","","","","","","","3315","22582","","","","","","","","","","","","","","226.43","","","","","","","210624.93","","","","","","","","","","","","9967500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.46","","2440","","2440","","567900","","3786000","8300000","","","-12.02","","8300000","8300000","0","8300000","60000","8240000","","","","","","",""
"17","Guangzhou",2006,"","114855000","285851900","","170996900","","","","","","","","","","","","19110","","","","7047.11","2105.4","6231","","","","","","","","","","","123748.41","","","","","90.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","?","44000.48","","?","","","2966.58","?","9.36","?","","","?","","","","44000.48","158401.72","","","?","430320.56","","792474.06","","792474.05","","","203751.78","","","","","","","","15926","","","","","87406.99","","","608186140000","","173767468571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","kerosene","","","","","","","430320.56","","","","","","","","","","","","9966600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","","2550","","462000","","3037000","8020000","","","","247370","8020000","8267370","0.031","8020000","35000","7985000","","","","","","",""
"18","Guangzhou",2011,"","159596900","369667000","","210070100","7434.4","","","","","","","","","","","8870","","","","7347.21","1465.23","6846.9","","","","","Y","","","725","539","","215859.27","0","na","0","unknown","99.93","","","?","","","","52.14","","","","","","20.38","","?","46.3","7.1","","","","","Y","1-2","public","","","Y","?","63120.34","","?","Y","unknown","3235.1","?","0.07","?","N","","?","N",">5","public","63120.34","227233.24","1049","800","?","604017.91","","1151337.13","","","1151337.13","","320085.98","","4207.05","","4918.48","","","","7403.62","","",">5","public","191923.75","N","1600","1242343900000","","295796166667","Y","60.4","214 per 100 pop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","604017.91","","","","","","","","16500000","#DIV/0!","1010","27.93","12751400","1632.3","","","","","","","","","","","","","","","","1.79","0.3","unknown","unknown","unknown","1.63","4.19","","","","1305.56","","","","","","","","","","?","","","","","","","","","3207.6","","3207.6",">5","220200","mix","1648000","7302000","3-5","public","","274491","7302000","7576491","0.038","7302000","58000","7244000","N","","","","","",""
"19","Istanbul",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","73269","","","","","","","31736","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","15406.07","148.27","0","","","1848","0","90","","","0","0","","","","15406.07","55461.85","","","0","294953","","406695.85","406695.85","","","22.99","56281","35.37","","","","","","","","","68000","","","24545","","","18689762564","653.44","18689762564","","","","","","","","","","153684","","","","","","","","","","","","","","","yrs 2003 & 2008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8803468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.25","3051.21","3465.39","","6516.6","","","","105000","642000","","","28.31","243960","642000","885960","0.38","","","","","","","","","",""
"20","Istanbul",2006,NA,NA,NA,NA,NA,NA,NA,"26109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27622",NA,NA,NA,NA,NA,NA,"35901",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"517.179",NA,NA,"68","24000",NA,"0",NA,NA,"2200","0","32",NA,NA,"300","0",NA,NA,NA,"24300","87480",NA,NA,"0","253225",NA,"421903",NA,"421903",NA,NA,"81198",NA,NA,NA,NA,NA,NA,NA,NA,NA,"140000",NA,NA,"33850",NA,NA,"8.7165e+10",NA,"8.7165e+10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"59494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11622000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3851.21","4575.59",NA,"8426.8",NA,NA,NA,"150000","732000",NA,NA,NA,"212280","732000","944280","0.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Istanbul",2011,"","","","","148929820","5461","5343","28200","","","","","","","1705.95","","13212.25","","","","","","","","","","25497","Y","","","123","1996","","45259",">5","mix","unknown","unknown","0","","","28","","","","31","","","","","","34","","0","0","10","","","","","N","1-2","public","631.00683","","Y","65","35182.73","","0","Y","unknown","2000","0","30","","Y","3066","0.2","N","3-5","mix","38248.73","137695.43","80","500","4.8","286315","28631.5","500195.43","","","500195.43","","76185","","","","","","","","","4816","208000","1-2","public","23131","Y","unknown","140816995088","","140816995088","Y","60","92","","","","","","","24618","","","","","","","","","","","","","7795","","","","","","","","","","","","","","","","","","","","","","","","","","","","12800000","2523","8576","53.16","13483052","852","","","","","","","","","","","","","","","","50-100","0","0","0","0","0","0","","","","1450","","","","","","","","","","7","","","","","","","","4498.63","5292.5","","9791.13","1-2","","public","183900","823749","1-2","public","","148274","823749","972023","0.18","","","","N","","","","","",""
"22","Jakarta",2001,"","","","","","","","na","","","","","","","","","","","","","","","","","","","na","","","","","","","54673.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","?","","","","19854.6","76.59","","","","2539.4","","","","","","","","","","19854.6","71476.56","","","","136483.22","","332793.31","332793.32","","","-1.8","124833.53","20.88","","","","","","","1394.46","8482.09","46185.8","","","69601.53","","","41169100000","138.66","41169100000","","","","","","","","","","15202.04","","","","na","","537.32","","","","","","","","","","","","","","","9580.34","6035.74","","","","59479.3","","","","","","","","","","","","","","","","","","","8429500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.93","0","4860.92","","4860.92","","","","na","237192.2","","","28.88","","237192.2","237192.2","","409664.5","0","409664.5","","","","","","",""
