"23","Jakarta",2006,"","","","","","","","na","","","","","","","","","","","","","","","","","","","na","","","","","","","94844.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","?","","","","26167.2","","","","","3569.3","","","","","","","","","","26167.2","94201.92","","","","294360.66","","687171.35","","687171.35","","","298608.77","","","","","","","","38327.31","3409.87","67817.8","","","196721.31","","","50177174000","","50177174000","","","","","","","","","","45800.02","","","21.34","6831.01","","197.67","","","","","","","","","","","","","","","41859.64","11756.71","","","","127126.5","","","","","","","","","","","","","","","","","","","8979639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5672.98","","5672.98","","","","na","284649.2","","","","","284649.2","284649.2","","557780.7","22793.1","534987.6","","","","","","",""
"24","Jakarta",2011,"","11000000","","","111276","662.33","556","na","","","","","","","na","na","na","","","","na","na","na","","","","na","Y","","","976","1","","48080.66","na","","na","unknown","","","","32","","","","28","","","","","1","35","3","na","na","na","","","","","Y","1-2","public","?","","Y","","35061.4","","","Y","unknown","2986.8","","","","N","","","Y","1-2","public","35061.4","126221.04","unknown","< 1000","","49687.98","","326801.56","","","326801.56","","150892.54","","","","","","","","","","35768.9",">5","mix","102811.88","N","unknown","98254004000","","98254004000","Y","na","na","","","","","","","na","","","14.76","","","","","","","","","","","","","","","","","","8980.98","na","","","","4938.1","","","","","","","","","","","","","","","15400000","17601","10051","16.1","9786372","1274.1","","","","","","","","","","","","13.34","","","5.49","na","24.29","0.29","12.17","na","8.46","na","","","","1825","","","","","","","","","3.65","","","","","","","","","0","5489.24","","5489.24","","?","","500056","305684","1-2","private","","","305684","305684","","535718.9","7864.8","527854.1","Y","","","11.25","","",""
"25","Karachi",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","14061.67","43.64","25.2","","","4213.33","2.9","39.5","","","","","","","","14061.67","50622","","","","0","","50622","50622","","","523.55","0","#DIV/0!","","","","","","","","","","","","","","","70000000000","14.29","70000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","400","","400","","","","161241","190764","","","98.41","75700","190764","266464","0.397","","","","","","","","","",""
"26","Karachi",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.59","15609.44",NA,"12.6",NA,NA,"4682.78","1.6","33.81",NA,NA,NA,NA,NA,NA,NA,"15609.44","56194",NA,NA,NA,"0",NA,"56194",NA,"56194",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5e+10",NA,"7.5e+10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13500000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109.5","900",NA,"1009.5",NA,NA,NA,"168811","284632",NA,NA,NA,"113550","284632","398182","0.399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Karachi",2011,"","159000000","","115000000","474000000","3527","2000","113505.85","","","","","5300","","2088","768220","44000","","","","7000","3200","400","","","","15462.65","Y","","","1149","153","","","na","na","na","unknown","0.43","1.24","11.1","10.36","","","","34.22","","","","","0.81","42.27","","?","?","?","","","","","Y","1-2","mix","","","Y","55.38","20197.78","","33.6","N","unknown","6059.17","1.98","41.59","","N","","","Y","1-2","mix","20197.78","72712","unknown","unknown","","193075.94","","315651.91","","","315651.91","","49863.97","","","","","","","","","","55585.04","1-2","public","","N","> 3500000","80000000000","","80000000000","Y","11.11","72","607","130.83","3706.91","","","","8522.41","","","","","","","","","","","","","","","","10436","39427.97","","","","","","","","","","","","","","","","","","434.74","","900","","","624.2","16200000","7750","23552","29.17","15500000","214","","","","","","","","","","2800","3579","","","","","2190","60","35","43","40","40","22","","","","1944.44","","","","0.01","0","0.05","","","","","","","","","","","","","1600","","1600","1-2","0.6","public","172596","378500","1-2","public","","151400","378500","529900","0.4","","29603564.16","188722721.52","N","","","","21700","1820.23","23310.8"
"28","Kolkata",2001,"","","","","","","","~0","","","","","","","","","","","","","","","","","","","na","","","","","","","1871.07","","","","","99.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","na","#VALUE!","0","","","","0","0","","","0","0","","","","#VALUE!","#VALUE!","","","0","3992.6","","#VALUE!","#VALUE!","","","#VALUE!","4585.89","270.22","","","","","","","144.9","","~0","","","545.02","","","565261700000","95.76","41563360294","","","","","","","","","","","","","","","","","","","","","","2169.81","","","","","","","","","214.71","","908.57","50.33","","","","2159.07","659.92","","","","","","","","","","","","","","","","13205697","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","0","1065","","1065","","na","","na","","","","#DIV/0!","","0","0","","","na","na","","","","","","",""
"29","Kolkata",2006,"","","","","","","","~0","","","","","","","","","","","","","","","","","","","na","","","","","","","5736.96","","","","","99.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9889.39","","0","","","","0","0","","","0","0","","","","9889.39","35601.8","","","0","9789.64","","56175.15","","56175.15","","","10783.71","","","","","","","","4028.94","","~0","","","1170.82","","","1020887500000","","67608443709","","","","","","","","","","","","","","","","","","","","","","3824.49","","51.43","","","","","","","638.33","","2869.95","667.57","","","","5383.38","230.42","","","","","","","","","","","","","","","","na","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1067","","1067","","na","","63145","443840","","","","155344","443840","599184","0.35","387703","43362","350838","","","","","","",""
"30","Kolkata",2011,"","","na","","","1886.67","185","~0","72.1","na","0","","","","7758.52","na","0","241.91","na","0","2652.77","na","0","1836.16","na","na","na","Y","na","na","1076","96","1385.28","9580.34","na","na","na","0","99.99","1.21","","17.34","","","","27.86","","","","0.16","0.42","46.74","","","0.4","93.3","","6.4","","0.4","?","1-2","?","0.846","","?","0","12383.02","","0","?","?","","0","0","","Y","0","0","?","?","?","12383.02","44578.87","0","na","0","6348.46","5923.11","67905.01","","","67905.01","","16977.68","","","","","1065.6","na","na","6615.76","","~0","?","?","2519.41","?","~0","1610995845000","","81363426515","Y","na","unknown","","","","732.6","na","na","","","","","","","","","","","","","4553.54","","324.39","","","","","","","89.94","","1441.33","37.45","","","","4759.42","20.32","","","","","","","","","","","","16300000","76284","27439","6.87","14112536","1241.2","","","","200.04","na","na","","","","","","","","","","?","38.94","5.1","37.23","","unknown","24","","","","?","","","","","","","","","","0.04","","","","1778.22","na","na","","0","1070","","1070","3-5","27.7","public","78256","1133540","3-5","public","","249378.8","1133540","1382918.8","0.22","394200","186019","582451","?","","","","","",""
"31","Lagos",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","0","0","","","","0","","0","0","","","#DIV/0!","0","#DIV/0!","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","0","","","","","","","","#DIV/0!","","0","0","","","","","","","","","","",""
"32","Lagos",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9241011011880",NA,"132392707907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17552942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3966.13",NA,"3966.13",NA,NA,NA,"3036658.97",NA,NA,NA,NA,NA,"0","0",NA,"249613.84","82.52","1122",NA,NA,NA,NA,NA,NA,NA
"33","Lagos",2011,"","","","","","2797.72","999.6","534889.24","","","","","","","","","","","","","","","","","","","112.99","","","","1012","0","","",">5","mix","unknown","unknown","na","","","9","","","","55","","","","","","35","","na","na","na","","","","","",">5","mix","","","Y",">50","1600","","<45","","unknown","640","na","na","","","","<2","","","","1600","5760","unknown","unknown","<2","557367.9","","609390.21","","","609390.2","","46262.31","","","","","","","","","","7632.24",">5","mix","","","unknown","12877235911141","","140427872532","","","","","","","","","","14733.44","","","","","","","","","","","","","","","","","","46262.31","","","","","","","","","","","","","","","","","","","","","","","11800000","20555","15854","#DIV/0!","20546999","1836","","","","","","","","","","","","","","","","","","","","","","","","","","?","","","","","","","","","",">1","","","","","","","","","2536.31","","2536.31",">5","","mix","3554630.83","953923.77",">5","mix","","","953923.77","953923.77","","122174.96","","","","","","","","",""
"34","London",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1503.35","43.57","1459.78",NA,NA,NA,"642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85101.94",NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"487.37",NA,NA,"31.1","41590","-3.95","0.4",NA,NA,"3862.75","27.2","1.1",NA,NA,NA,NA,NA,NA,NA,"41590","149724",NA,NA,NA,"463702.4",NA,"811189.89","811189.89",NA,NA,"-12.05","197763.49","-7.49","6900.03","1315.74","5589.72",NA,NA,NA,"61650","4500","320814",NA,NA,"112661.55",NA,NA,"1.6841e+11","37.84","280683333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"142888.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3209.02","1182.39","2026.63","690.76","154.87","535.9",NA,NA,NA,NA,"7322400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.67","886","3207",NA,"4093",NA,NA,NA,NA,"503150",NA,NA,"10.96","159887","503150","663037","0.318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","London",2006,NA,"75319490",NA,NA,"138961340",NA,NA,"361.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.24",NA,NA,NA,NA,NA,NA,"106773.87",NA,NA,NA,NA,"44.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"511.17",NA,NA,"31.1","42843.37",NA,"0.4",NA,NA,"3426.25","21.9","1.2",NA,NA,NA,NA,NA,NA,NA,"42843.37","154236.13",NA,NA,NA,"405786.6",NA,"764364.74",NA,"764364.74",NA,NA,"204342.01",NA,NA,NA,NA,NA,NA,NA,"1770.6","9450","277020.36",NA,NA,"97568.14",NA,NA,"2.2527e+11",NA,"3.7545e+11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"128401.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7546600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"767","2692",NA,"3459",NA,NA,NA,NA,"512382",NA,NA,NA,"210378","512382","722760","0.411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","London",2011,"","","","","","1594.7","560.1","","","","","","","","","","","","","","","","","","","","","Y","","","6","2333","","109226.49",">5","mix","unknown","10248","37.3","","","11.1","3.1","0.3","","11.4","","","61.3","","","12.4","","13.2","20.8","23.6","","42.4","","","Y","1-2","private","457.47","","Y","31.1","39945.74","","0.6","Y","unknown","3466.26","23.1","0.5","1.9","Y","","","N",">5","private","39945.74","143804.67","1315","2114","1.6","386642.9","142284.59","713403.23","","","713403.23","","182955.66","","","","","","","","1556.2","1771.2","230094","1-2","private","73729.17","Y","unknown","270830000000","","386900000000","Y","83","94","","","","","","","156548.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12400000","14594","4689","11.63","8173941","601","","","","","","","","","","","","","","","","0","","","","","","","","","","1050","","","","","","","","","","0.5","","","","","","","","896","1696","","2592","1-2","","private","","558319","1-2","private","","148947","558319","707266","0.267","","","","Y","","","","","",""
"37","Los Angeles",2001,"","","","","","","","28339","","","","","","","","","","","","","","","","","","","16858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","0","0","","","","228465","","228465","228465","","","350.3","0","#DIV/0!","","","","","","","","","","","","","","","525167000000","39.43","525167000000","","","","","","","","","","183268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9635000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","0","","","","","","","","#DIV/0!","","0","0","","","","","","","","","","",""
"38","Los Angeles",2006,"","","","","","","","18221","","","","","","","","","","","","","","","","","","","12860","","","","","","","","","","","","?","","","","","","","","","","","","","","","","","","","","","","","","","?","","","?","70662","","?","","","4946.34","?","?","?","","","?","","","","70662","254383.2","","","?","501569.42","","755952.62","","755952.62","","","0","","","","","","","","","","316595.42","","","","","","706469000000","","706469000000","","","","","","","","","","153893","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9761000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","0","","","","","","","","","","",""
"39","Los Angeles",2011,"","","","","","10517.6","","21921","","","","","","","","34300","","","","","","","","","","","9866","Y","","","7","887","","100995.45",">5","mix","unknown","12193","","","","","","","","","","","","","","30","","","","","","","","","N",">5","mix","","","Y","","63898","","","Y","","4472.86","","","","Y","0.48","","N",">5","mix","63898.48","230034.54","235","32874","","508755.34","","1028785.35","","","1028785.35","","289995.47","","","","","","","","4814.23","","329145.34","3-5","mix","189000.02","Y","unknown","732230000000","","732230000000","Y","64","91","","","","","394.05","","147823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17900000","#DIV/0!","2829","2.64","9889000","379.2","1279.55","","","","","","","","","","","","","","","","0","","0","","0","100","438.32","","","2073","61.99","","","","","","","","","","","","","889.93","","","","5592.65","516.68","","6109.33",">5","","public","1320000","3330000",">5","mix","","330000","3330000","3660000","0.099","3330000","680000","2650000","Y","","","","","",""
"40","Manila",2001,"","","","","","","","259232","","","","","","","","","","","","","","","","","","","34240","","","","","","","23945.05","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","36184","37.52","15","","","7909","0","21","","","","","","","","36184","130262.4","","","","382104","","551765.49","551765.49","","","0.94","39399.09","-1.7","","","","","","","1528.98","3479.82","0","","","15454.03","","","1301989000000","114.68","65099450000","","","","","","","","","","88632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9932560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","0","","na","","","558750","","","46.74","895370","558750","1454120","1.602","1453740","27630","1426110","","","","","","",""
"41","Manila",2006,"","","","","","","","221528","","","","","","","","","","","","","","","","","","","55451","","","","","","","22736.82","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","41241","","18","","","11112","0","8","","","","0.003","","","","41241","148467.6","","","0.09","348891","","535188.22","","535188.22","","","37829.62","","","","","","","","1303.09","2511.97","2182","","","15092.79","","","1993037000000","","90182669683","","","","","","","","","","69730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10787300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2124.74","","2124.74","","na","","","594010","","","","710670","594010","1304680","1.196","1304580","14770","1289810","","","","","","",""
"42","Manila",2011,"","888780","2870230","","1931052","636","636","212179","","","","","","","15625000000","30000000","16063000000","","","","","","","","","","81264","Y","","","1027","0","","23198.62","","","","unknown","37","","","32","","","","34","","","","","","33","","9","23","24","","","","","Y","1-2","private","","","Y","30","49762","","14","Y","unknown","13078","0","5","0.17","Y","","0.002","",">5","private","49762","179143.2","1","unknown","0.13","339060","111889.8","556932.4","","","556932.4","","38729.2","","","","","","","","1655.63","1324.81","3251","","","15530.58","","","3479905000000","","139755220884","Y","","99","","","","","","","42366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19600000","18641","7720","19.36","11855975","2061","","","","","","","","","","","","","","","","","","","","0","","","","","","1620","","","","","","","","","","0.2","","","","","","","","","2683.74","","2683.74","3-5","na","mix","67938.91","819920",">5","mix","","428170","819920","1248090","0.522","1248090","0","1248090","N","","","","","",""
"43","Mexico City",2001,"","","","","","","","2805.29","","","","","","","","","","","","","","","","","","","17579.9","","","","","","","33410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13186.99","3.64","","","","","","","","","","","","","","13186.99","47473.17","","","","56154.89","","317888.06","317888.06","","","4.25","214260","-23.96","","","","","","","2.66","","35769.7","","","180850","","","1176371821000","65.78","186725685873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8591309","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.53","0","4380","","4380","","","","","","","","#DIV/0!","","0","0","","","","","","","","","","",""
"44","Mexico City",2006,NA,NA,NA,NA,NA,NA,NA,"4007.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28203.96",NA,NA,NA,NA,NA,NA,"34840",NA,NA,NA,NA,"5.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13376.33",NA,"21.65",NA,NA,NA,"2.79","26.43",NA,NA,NA,NA,NA,NA,NA,"13376.33","48154.78",NA,NA,"0.047","99359",NA,"374953.78",NA,"374953.78",NA,NA,"227440",NA,NA,NA,NA,NA,NA,NA,"48.98",NA,"67147.32",NA,NA,"192600",NA,NA,"1.770827e+12",NA,"245948194444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8720916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","4836.25",NA,"4836.25",NA,NA,NA,"192000",NA,NA,NA,NA,"53.7","0","53.7",NA,NA,"309831.7",NA,NA,NA,NA,NA,NA,NA,NA
"45","Mexico City",2011,"","","","","","1495","792.37","3891.4","","","","","","","","","","","","","","","","","","","24600.5","","","","45","873","","37690","","","","unknown","","","","19.79","","","","51.2","","","","","","16.21","","2.6","8.2","15.7","","","","","Y","1-2","public","","","N","","13667.11","","","Y","unknown","","","","","N","","","Y","1-2","public","13667.11","49201.6","unknown","unknown","","119262.15","21824.97","331393.75","","","331393.75","","162930","","","","","","","","91.26","","90770.25","1-2","private","125240","Y","unknown","2321648000000","","309553066667","Y","53.6","71.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23400000","11170","9286","3.02","8851080","697","","","","","","","","","","","","","","","","","","4.99","0.48","","3.53","15.1","","","","1934.5","","","","","","","","","","5.7","","","","","","","","0","4622.36","","4622.36",">5","","mix","","1122400","1-2","private","","","1122400","1122400","","","","1072983","N","","","","","",""
"46","Moscow",2001,"","","","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","41115.1","26.36","","","","","","0","","","0","0","","","","41115.1","148014.36","","","0","0","","148014.36","148014.36","","","204.08","0","#DIV/0!","","","","","","","","","","","","","","","246348383154","169.71","246348383154","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10382754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","0","","","","","2777000","","","-46.13","","2777000","2777000","","","","","","","","","","",""
"47","Moscow",2006,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","49782",NA,NA,NA,NA,"6509.4",NA,"0",NA,NA,"0","0",NA,NA,NA,"49782","179215.2",NA,NA,"0","0",NA,"179215.2",NA,"179215.2",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"377606250502",NA,"377606250502",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"2634000",NA,NA,NA,NA,"2634000","2634000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Moscow",2011,"","","","","216000000","1080","737","0","","","","","","","","","","","","","","","","","","","0","N","","","50","4562","","","1-2","public","100","0","0","","","","","","","","","","","","","","","","","","","","","","Y","1-2","public","","","N","100","51954.3","","","N","0","4835.5","","0","","N","0","0","Y",">5","public","51954.3","187035.48","0","0","0","0","","450087.54","","","450087.54","","263052.06","","7278.4","7278.4","0","","","","","","","1-2","public","263052.06","N","unknown","664419868374","","664419868374","Y","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13600000","15609","5033","10.79","11503501","698","","","","","","","","","","","","","","","","","0","0","0","0","0","100","","","","1020.7","","","","","","","","","","","","","","","","","","598.2","4003.2","","4601.4","1-2","","public","","1496000","1-2","public","","","1496000","1496000","","","","","N","","","","","",""
"49","Mumbai",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","na","","","","","","","27321.97","","","","","63.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.29","","#DIV/0!","2.87","","","","1.81","","","","0","","","","","0","0","","","","30390.51","","82332.99","82332.99","","","30.02","51942.48","-39.52","","","","","","","29750.68","30967.53","685.08","","","13735.75","","","683197100000","122.84","50235080882","","","","","","","","","","","","","","","685.08","","na","","","","","10199.67","","0","","","","","","","1737.34","","11667.58","376.31","","","","14231.73","1692.47","","","","","","","","","","","","","","","","11978000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.35","0","","","3580","","na","","na","","","","#DIV/0!","","0","0","","","na","na","","","","","","",""
"50","Mumbai",2006,"","","","","","","","","","","","","","","","","","","","","","","","","","","na","","","","","","","25203.35","","","","","61.53","","","","","","","","","","","","","","","","","","","","","","","","","0.87","","","5.68","5533","","11.25","","","553.3","1.16","","","","0","","","","","5533","19918.8","","","","31330.91","","100482.4","","100482.41","","","49232.69","","","","","","","","48447.99","25416.62","4127.47","","","11031.95","","","2004830000000","","132770198675","","","","","","","","","","","","","","","4127.4","","na","","","","","8228.42","","641.58","","","","","","","834.68","","8476.94","75.6","","","","17357.52","458.71","","","","","","","","","","","","","","","","12200000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3580","","3750","","na","","940970","1642853","","","","328570.6","1642853","1971423.6","0.2","na","","1706653","","","","","","",""
"51","Mumbai",2011,"","","","","","603.4","na","","70","na","0","","","","9190","na","0","290","na","0","3160","na","0","1836.16","na","na","na","Y","na","na","1216","1","1385.28","15951.34","na","na","na","?","","","","38","","","","13","","","","","","49","","0.7","0.9","98.5","","","","","N","3-5","mix","0.79","","?","","12952","","","Y","","1295","","","","Y","0","","N","3-5","mix","12952","46627.2","","~0","","29005.39","28773.35","107048.82","","","107048.82","","31416.23","","","","","1065.6","na","na","23362.94","4502.94","4515.43","1-2","mix","7420.94","?","192269","2216470000000","","111942929293","Y","10","84","","","","732.6","na","na","","","","","","4515.43","","na","","","","","3405.06","","123.46","","","","","","","59.96","","5350.69","70.59","","","","18849.16","159.56","","","","","","","","","","","","22800000","#VALUE!","38926","4.18","12478447","3224.6","","","","200.04","na","na","","","","","","","","","","~0","20.53","18","64","48","20.53","94","","","","?","","","","","","","","","","","","","","1778.22","na","na","","0","3750","","5490","1-2","41.3","public","1036600","1725195","1-2","public","","345039","1725195","2070234","0.2","1706653","","1788995","?","","","","","",""
