"words","freq"
"optimization",660
"waste",577
"water",571
"energy",535
"heat",491
"wastewater",458
"treatment",424
"design",306
"modeling",304
"carbon",291
"power",287
"biomass",273
"sludge",254
"recovery",247
"gas",234
"organic",229
"oil",189
"biodiesel",170
"solar",164
"digestion",158
"simulation",157
"fuel",154
"network",152
"modelling",151
"biogas",140
"thermal",137
"hydrogen",128
"municipal",123
"cooling",105
"engine",101
"steam",97
"gasification",95
"emissions",91
"co2",86
"networks",86
"heating",84
"fermentation",82
"models",77
"methane",74
"manure",72
"optimisation",72
"wastes",71
"food",69
"hydrolysis",68
"sewage",68
"effluent",67
"agricultural",66
"renewable",66
"desalination",65
"ethanol",64
"exergy",62
"pyrolysis",62
"metal",60
"coal",58
"combustion",58
"refrigeration",58
"material",55
"cogeneration",54
"pollution",54
"biohydrogen",53
"geothermal",53
"landfill",53
"materials",52
"leachate",51
"diesel",50
"emission",50
"drying",49
"bioethanol",48
"optimizing",47
"rice",47
"microalgae",42
"residues",41
"ash",40
"bioenergy",40
"electricity",40
"corn",39
"greenhouse",39
"chromium",38
"groundwater",38
"olive",38
"dyes",37
"biofuel",35
"copper",35
"metals",35
"wastewaters",35
"hydrothermal",34
"iron",34
"lead",34
"paper",34
"recycling",34
"composting",33
"bagasse",32
"biofuels",32
"pollutants",32
"wood",32
"fuels",31
"algal",30
"dairy",29
"residue",29
"wheat",29
"fish",28
"electric",27
"nuclear",27
"effluents",26
"feed",26
"husk",26
"methanol",26
"sugarcane",26
"acids",25
"aquaculture",23
"seed",23
"stover",23
"crop",22
"irrigation",22
"mercury",22
"nickel",22
"biooil",21
"crude",21
"feedstock",21
"sugar",21
"chp",20
"zinc",20
"biochar",19
"incineration",19
"fruit",18
"boiler",17
"seeds",17
"vegetable",17
"crops",16
"agriculture",15
"biorefineries",15
"char",15
"syngas",15
"algae",14
"discharge",14
"feedstocks",14
"microalgal",14
"photovoltaic",14
"pollutant",14
"pond",14
"seawater",14
"soybean",14
"vehicle",14
"byproducts",13
"gases",13
"tomato",13
"gasifier",12
"hydrocarbons",12
"msw",12
"rapeseed",12
"so2",12
"steel",12
"wastetoenergy",12
"coalfired",11
"potato",11
"airconditioning",10
"bamboo",10
"biomethane",10
"biosolids",10
"oils",10
"uranium",10
"wind",10
"cchp",9
"dust",9
"freshwater",9
"ghg",9
"heater",9
"maize",9
"recycle",9
"salmon",9
"shale",9
"silage",9
"trout",9
"aircooled",8
"apple",8
"beet",8
"cassava",8
"cement",8
"coffee",8
"contaminant",8
"digestate",8
"fueled",8
"fuelled",8
"gaseous",8
"hvac",8
"landfills",8
"oilfield",8
"ore",8
"plastic",8
"refuse",8
"seaweed",8
"slag",8
"wetland",8
"aluminium",7
"compost",7
"emergy",7
"fertilizer",7
"grape",7
"livestock",7
"meat",7
"recycled",7
"sewer",7
"switchgrass",7
"tea",7
"titanium",7
"dung",6
"hydro",6
"hydrocarbon",6
"hydropower",6
"infrastructure",6
"metabolism",6
"microchp",6
"sludges",6
"wetlands",6
"ccs",5
"holistic",5
"hydrogenproducing",5
"refrigerant",5
"solarassisted",5
"solarpowered",5
"stormwater",5
"wwtp",5
"macroalgae",4
"rainwater",4
"synergy",4
"urine",4
"greenhousegas",3
"greywater",3
"heatexchanger",3
"refrigerants",3
"sludgebased",3
"soilwater",3
"algaebased",2
"biochars",2
"bioelectricity",2
"bioetanol",2
"codigested",2
"codigesting",2
"coke",2
"coolingheating",2
"energywater",2
"gascooled",2
"gasfueled",2
"gridconnected",2
"hotwater",2
"husks",2
"hydrochar",2
"microcchp",2
"microflora",2
"microgeneration",2
"microgrids",2
"microhydropower",2
"oilfields",2
"olivewaste",2
"wasted",2
"wasteflow",2
"wastenewspaper",2
"wasterecycling",2
"woodbased",2
"biogasfueled",1
"biogasfuelled",1
"biohydrogengeneration",1
"biohydrogenproducing",1
"biomasscoal",1
"biomassderived",1
"biomassfuelled",1
"biomassgenerated",1
"biomasslipid",1
"biomassmunicipal",1
"biomasstobiodiesel",1
"biomasstobioenergy",1
"biomasstoelectricity",1
"biomasstoenergy",1
"biomasstofuel",1
"biomasstoheat",1
"cabbage",1
"cauliflower",1
"cereal",1
"chilling",1
"co2water",1
"coalbased",1
"coalbiomass",1
"coalgasification",1
"coalnatural",1
"coalwater",1
"coffea",1
"cokesludge",1
"coking",1
"coldheatpower",1
"cookstove",1
"cool",1
"coolants",1
"cooled",1
"coolers",1
"cornethanol",1
"cornsoybean",1
"cussava",1
"dieselbiodiesel",1
"dieseldiesel",1
"energybased",1
"energyconsuming",1
"energyexergybased",1
"energyharvesting",1
"energyhydrogen",1
"energyinput",1
"energypowered",1
"fuelcellbased",1
"fuelslurry",1
"microaeration",1
"microalga",1
"microalgalbacterial",1
"microgas",1
"microgenerators",1
"micropower",1
"offgas",1
"petrochemicals",1
"petrodiesel",1
"petroleumcoke",1
"platinum",1
"poultrymanure",1
"powercooling",1
"powerstation",1
"pyrogas",1
"reservoirrivergroundwater",1
"seawaterdesalination",1
"seawatersource",1
"sewers",1
"sludgederived",1
"solardriven",1
"solarenergy",1
"solargeothermal",1
"solarwaste",1
"soot",1
"stove",1
"stoves",1
"sulphur",1
"sunlight",1
"synergetic",1
"synergic",1
"synergism",1
"syngasbiogas",1
"syngasfuelled",1
"tin",1
"tobacco",1
"toilets",1
"utilityheat",1
"vegetation",1
"wasteheatpowered",1
"wasteloadallocation",1
"wastemanagement",1
"wastepaper",1
"wastereduction",1
"wastestream",1
"wastetoresources",1
"wastetowealth",1
"wastewastewater",1
"wastewaterderived",1
"wastewatertohydrogen",1
"wateroil",1
"waterreuse",1
"watersaving",1
"watertowater",1
"watertreated",1
"windhydro",1
"windpowered",1
"winds",1
